Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Mouthfeel,Uniformity,Clean.Cup,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Robusta,Trương Công Thịnh,Vietnam,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,1,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,,TNHH MTV TM XNK TOÀN THỊNH,690,"Nhân Cơ, Đăk R'lấp, Đắk Nông",Trương Công Thịnh,1,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Trương Công Thịnh,Cũ,Natural (nền xi măng),,8.08,8.0,,,,,10.0,8.0,,84.5,0.116,0 full defects,0,Brownish,1 full defects,,,,,,,,
Robusta,Phùng Văn Thịnh,Vietnam,Hưng Thịnh Farm,1,Hưng Thịnh Farm,,Hưng Thịnh Farm,750,"Thôn 2, Đắk Buk Sor, Tuy Đức, Đắk Nông",Phùng Văn Thịnh,33,60 kg,HQJ Coffee School,2023,"July 12th, 2024",Phùng Văn Thịnh,Mixed,Natural / Dry,,8.17,8.08,,,,,10.0,7.92,,84.5,0.111,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Phùng Văn Thịnh,Vietnam,Hưng Thịnh Farm,1,Hưng Thịnh Farm,,Hưng Thịnh Farm,750,"Thôn 2, Đắk Buk Sor, Tuy Đức, Đắk Nông",Phùng Văn Thịnh,33,60 kg,HQJ Coffee School,2024,"July 12th, 2024",Phùng Văn Thịnh,Mixed,Natural / Dry,,8.17,8.08,,,,,10.0,7.92,,84.5,0.111,0 full defects,0,Yellow-Green,0 full defects,,,,,,,,
Robusta,Simexco DakLak,Vietnam,Ea Tan Cooperative,ETC_N02,dry mill,,SIMEXCO DAKLAK LTD,820-830,Đắk Lắk,Ea Tan Cooperative,3,30 kg,STONE VILLAGE LAB VIETNAM,2023,"October 4th, 2024",Simexco DakLak,SẺ,Natural / Dry,,8.17,7.92,,,,,10.0,8.0,,84.42,0.119,0 full defects,0,Bluish-Green,0 full defects,,,,,,,,
Robusta,Simexco DakLak,Vietnam,Ea Tan Cooperative,ETC_N02,dry mill,,SIMEXCO DAKLAK LTD,820-830,Đắk Lắk,Ea Tan Cooperative,3,30 kg,STONE VILLAGE LAB VIETNAM,2024,"October 4th, 2024",Simexco DakLak,SẺ,Natural / Dry,,8.17,7.92,,,,,10.0,8.0,,84.42,0.119,0 full defects,0,Bluish-Green,0 full defects,,,,,,,,
Robusta,Simexco DakLak,Vietnam,Ea Tan Cooperative,VNR-N9,SIMEXCO DAKLAK LTD.,,SIMEXCO DAKLAK LTD,850,"Thanh Cao Village, Ea Tan Commune, Krong Nang District, Daklak Province, VietNam",Ea Tan Cooperative,29,30 kg,HQJ Coffee School,2023,"July 31st, 2024",Simexco DakLak,TR9,Natural / Dry,,8.25,8.0,,,,,10.0,8.0,,84.33,0.114,0 full defects,0,Brownish,1 full defects,,,,,,,,
Robusta,Simexco DakLak,Vietnam,Ea Tan Cooperative,VNR-N9,SIMEXCO DAKLAK LTD.,,SIMEXCO DAKLAK LTD,850,"Thanh Cao Village, Ea Tan Commune, Krong Nang District, Daklak Province, VietNam",Ea Tan Cooperative,29,30 kg,HQJ Coffee School,2024,"July 31st, 2024",Simexco DakLak,TR9,Natural / Dry,,8.25,8.0,,,,,10.0,8.0,,84.33,0.114,0 full defects,0,Brownish,1 full defects,,,,,,,,
Robusta,Tanagrit Rungpokinan,Thailand,Tanagrit Rungpokinan,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,Independent,500,"Pha Thong, Tha Wang Pha, Nan",Tanagrit Rungpokinan,3,25 kg,Coffee Quality Institute,2023,"September 19th, 2024",Tanagrit Rungpokinan,Mixed: unknown variety,Natural / Dry,,8.17,8.0,,,,,10.0,7.92,,84.33,0.097,3 full defects,0,Yellowish,1 full defects,,,,,,,,
Robusta,Tanagrit Rungpokinan,Thailand,Tanagrit Rungpokinan,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,Independent,500,"Pha Thong, Tha Wang Pha, Nan",Tanagrit Rungpokinan,3,25 kg,Coffee Quality Institute,2024,"September 19th, 2024",Tanagrit Rungpokinan,Mixed: unknown variety,Natural / Dry,,8.17,8.0,,,,,10.0,7.92,,84.33,0.097,3 full defects,0,Yellowish,1 full defects,,,,,,,,
Robusta,Panuwat Kimsia,Thailand,LMJB Farm,1,Dry,,LMJB,70,Thasae Chumpon,Panuwat Kimsia,1,10 kg,Specialty Coffee Institute of Thailand,2024,"October 29th, 2024",Panuwat Kimsia,Catimor,Natural / Dry,,8.08,8.08,,,,,10.0,7.92,,84.17,0.108,0 full defects,0,yellow-green,0 full defects,,,,,,,,
Robusta,CARABU COFFEE,Vietnam,Carabu Farm,R03,23 nguyen cư trinh,,"carabu coffee. co., ltd",500,Buon Ma Thuot City,Carabu,60,25 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2023,"October 29th, 2024",CARABU COFFEE,Blue Mountain,Natural / Dry,,8.08,8.0,,,,,10.0,7.92,,84.08,0.119,0 full defects,0,Yellowish,0 full defects,,,,,,,,
Robusta,CARABU COFFEE,Vietnam,Carabu Farm,R03,23 nguyen cư trinh,,"carabu coffee. co., ltd",500,Buon Ma Thuot City,Carabu,60,25 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2024,"October 29th, 2024",CARABU COFFEE,Blue Mountain,Natural / Dry,,8.08,8.0,,,,,10.0,7.92,,84.08,0.119,0 full defects,0,Yellowish,0 full defects,,,,,,,,
Robusta,Wanwisa Jordan,Thailand,gem forest coffee (Num meet),#120224,gem forsest coffee,,"Gemforest coffee LTD.,Part.",450,Nan,Wanwisa Jordan,1,10 kg,Specialty Coffee Institute of Thailand,2024,"October 29th, 2024",Wanwisa Jordan,,Natural / Dry,,8.0,7.83,,,,,10.0,8.08,,84.0,0.104,0 full defects,0,yellow-green,0 full defects,,,,,,,,
Robusta,s quality coffee lab (stone village),Vietnam,FRD - FINE ROBUSTA DAKNONG,FRD DAKNONG 001,DRY MILL,,S quality coffee lab (stone village),650 – 700,DAKNONG,FRD - FINE ROBUSTA DAKNONG,50,60 kg,STONE VILLAGE LAB VIETNAM,2023,"April 10th, 2024",s quality coffee lab (stone village),,Pulped natural / honey,,8.0,8.0,,,,,10.0,7.92,,83.83,0.11,0 full defects,1,Green,0 full defects,,,,,,,,
Robusta,s quality coffee lab (stone village),Vietnam,FRD - FINE ROBUSTA DAKNONG,FRD DAKNONG 001,DRY MILL,,S quality coffee lab (stone village),650 – 700,DAKNONG,FRD - FINE ROBUSTA DAKNONG,50,60 kg,STONE VILLAGE LAB VIETNAM,2024,"April 10th, 2024",s quality coffee lab (stone village),,Pulped natural / honey,,8.0,8.0,,,,,10.0,7.92,,83.83,0.11,0 full defects,1,Green,0 full defects,,,,,,,,
Robusta,Athit Sengtow,Thailand,Janki Coffee,May Special Lot,Petch Mahachai,,Coffee,500,"Phob Phra, Tak",Athit Sengtow,2,30 kg,Coffee Quality Institute,2023,"July 12th, 2024",Athit Sengtow,Other,Pulped natural / honey,,8.0,8.17,,,,,10.0,7.92,,83.83,0.107,0 full defects,0,Brownish,1 full defects,,,,,,,,
Robusta,Athit Sengtow,Thailand,Janki Coffee,May Special Lot,Petch Mahachai,,Coffee,500,"Phob Phra, Tak",Athit Sengtow,2,30 kg,Coffee Quality Institute,2024,"July 12th, 2024",Athit Sengtow,Other,Pulped natural / honey,,8.0,8.17,,,,,10.0,7.92,,83.83,0.107,0 full defects,0,Brownish,1 full defects,,,,,,,,
Robusta,s quality coffee lab (stone village),Vietnam,The Espresso Farm,TE NA1,DRY MILL,,The Espresso Farm,650 – 700,Đắk Lắk,The Espresso Farm,50,60 kg,STONE VILLAGE LAB VIETNAM,2023,"April 29th, 2024",s quality coffee lab (stone village),,Natural / Dry,,8.0,8.0,,,,,10.0,7.92,,83.75,0.119,0 full defects,0,Bluish-Green,0 full defects,,,,,,,,
